SEQPLT16,PSTATABB,PNAME,LAT,LON,PLPRMFL,NAMEPCAP,PLNGENAN,PLCO2EQA
1,AK,7-Mile Ridge Wind Project,63.210689,-143.247156,WND,1.80,0.00,0.00
2,AK,Agrium Kenai Nitrogen Operations,60.673200,-151.378400,NG,21.60,0.00,0.00
3,AK,Alakanuk,62.683300,-164.654400,DFO,2.60,1213.00,1049.86
4,AK,Allison Creek Hydro,61.084444,-146.353333,WAT,6.50,881.00,0.00
5,AK,Ambler,67.087980,-157.856719,DFO,1.10,1316.00,1087.88
6,AK,Anchorage 1,61.222100,-149.866100,NG,121.40,45082.00,31902.71
7,AK,Angoon,57.499166,-134.586140,DFO,1.90,1714.00,1429.64
8,AK,Aniak,61.580678,-159.535643,DFO,2.60,2614.00,2167.49
9,AK,Annex Creek,58.317600,-134.101000,WAT,4.00,25644.00,0.00
10,AK,Auke Bay,58.387500,-134.644600,DFO,36.20,8.00,243.96
11,AK,Aurora Energy LLC Chena,64.847743,-147.735063,SUB,31.30,191982.00,191348.94
12,AK,Barrow,71.292000,-156.778600,NG,20.30,50162.00,44205.17
13,AK,Battery Energy Storage System,64.816700,-147.725000,MWH,40.00,-2392.00,0.00
14,AK,Beaver Falls,55.379750,-131.470269,WAT,5.40,42915.00,0.00
15,AK,Beluga,61.186100,-151.035600,NG,374.40,84421.00,89980.70
16,AK,Bernice Lake,60.693500,-151.387400,NG,76.70,12.00,429.17
17,AK,Bethel,60.789700,-161.787778,DFO,12.60,41020.00,32999.69
18,AK,Black Bear Lake,55.476472,-133.147720,WAT,4.50,20763.00,0.00
19,AK,Blue Lake Hydro,57.051600,-135.229700,WAT,22.90,69018.00,0.00
20,AK,Bradley Lake,59.778620,-150.940150,WAT,126.00,430509.00,0.00
21,AK,Brevig Mission,65.331716,-166.479506,DFO,1.50,1137.00,878.45
22,AK,Centennial,55.121433,-131.560267,DFO,3.30,3046.00,3049.63
23,AK,Chester Lake,55.116879,-131.545879,WAT,1.00,4585.00,0.00
24,AK,Chevak,61.525297,-165.590152,DFO,2.80,2471.00,1515.43
25,AK,Cooper Lake,60.392331,-149.665603,WAT,19.40,86666.00,0.00
26,AK,Craig (AK),55.476910,-133.148690,DFO,6.20,431.00,465.32
27,AK,Delta Power,64.028056,-145.719444,DFO,23.10,38.00,298.01
28,AK,Delta Wind Farm,64.013889,-145.596667,WND,1.90,4446.00,0.00
29,AK,Dillingham,59.042914,-158.468597,DFO,10.70,18122.00,14187.37
30,AK,Dutch Harbor,53.892459,-166.538185,DFO,26.00,46918.00,34984.05
31,AK,Eielson AFB Central Heat & Power Plant,64.671410,-147.075988,SUB,33.50,69894.57,41747.39
32,AK,Eklutna Generation Station,61.457778,-149.351389,NG,171.00,819046.00,417887.55
33,AK,Eklutna Hydro Project,61.475211,-149.150090,WAT,44.40,76916.00,0.00
34,AK,Elim,64.616558,-162.263717,DFO,1.60,1278.00,947.99
35,AK,Emmonak,62.777694,-164.531517,DFO,4.80,4654.00,3019.64
36,AK,ESS Battery,57.799167,-152.404167,MWH,3.00,0.00,0.00
37,AK,Eva Creek Wind,64.058333,-148.900000,WND,24.60,73845.00,0.00
38,AK,Fairbanks,64.854171,-147.719351,DFO,42.20,7133.00,12944.38
39,AK,False Island,55.489180,-133.134500,DFO,1.60,689.00,558.57
40,AK,Fire Island Wind,61.130000,-150.243611,WND,18.00,56022.00,0.00
41,AK,Flywheel Energy Storage System,57.780114,-152.443783,MWH,2.00,0.00,0.00
42,AK,Fort Greely Power Plant,63.973572,-145.716581,DFO,10.40,107.80,89.39
43,AK,Galena Electric Utility,64.744170,-156.873600,DFO,8.00,5390.00,4742.37
44,AK,Gambell,63.777058,-171.712439,DFO,1.90,1911.00,1143.19
45,AK,George M Sullivan Generation Plant 2,61.229713,-149.716744,NG,418.00,589738.00,380839.91
46,AK,Glennallen,62.110415,-145.532529,DFO,11.30,10403.00,8335.08
47,AK,Goat Lake Hydro,59.535700,-135.212300,WAT,4.00,16957.00,0.00
48,AK,Gold Creek,58.310700,-134.417400,WAT,9.70,4597.00,9.34
49,AK,Green Lake,56.986284,-135.122750,WAT,18.60,35983.00,0.00
50,AK,Gwitchyaa Zhee,66.566287,-145.253052,DFO,6.00,2554.00,2469.10
51,AK,Haines,59.235931,-135.446228,DFO,7.30,-201.00,101.19
52,AK,Healy,63.854200,-148.950000,LIG,92.80,192475.00,300819.57
53,AK,Hiilangaay Hydro,55.216389,-132.603611,WAT,5.00,0.00,0.00
54,AK,Hoonah,58.106432,-135.430740,DFO,3.40,3348.00,2673.29
55,AK,Hooper Bay,61.530858,-166.101944,DFO,3.30,3326.00,2271.71
56,AK,Humpback Creek,60.612822,-145.679411,WAT,1.20,3743.00,0.00
57,AK,Hydaburg,55.204937,-132.821435,DFO,1.00,-9.00,15.73
58,AK,Industrial Plant,58.367635,-134.608020,DFO,41.70,138.00,1531.41
59,AK,International,61.168972,-149.911038,NG,46.30,-780.00,135.78
60,AK,Jarvis Street,57.049700,-135.312800,DFO,25.60,1099.00,1733.63
61,AK,JBER Landfill Gas Power Plant,61.286000,-149.610000,LFG,11.50,42516.00,0.70
62,AK,Kake,56.962983,-133.922557,DFO,3.00,2139.00,1892.26
63,AK,Kasidaya Creek Hydro,59.407200,-135.340800,WAT,3.00,7123.00,0.00
64,AK,Kasigluk,60.873100,-162.519700,DFO,2.40,2958.00,1934.21
65,AK,Ketchikan,55.344641,-131.633425,WAT,4.20,20683.00,0.00
66,AK,Kiana,66.973889,-160.428592,DFO,1.70,1545.00,1197.51
67,AK,King Cove,55.061683,-162.310300,WAT,2.60,3914.00,1663.33
68,AK,Kivalina,67.726644,-164.538447,DFO,1.10,1282.00,970.55
69,AK,Klawock,55.557778,-132.981389,DFO,1.40,0.00,0.00
70,AK,Kodiak,57.789956,-152.396982,DFO,37.30,0.00,0.00
71,AK,Kotlik,63.032150,-163.553106,DFO,1.40,1927.00,1465.58
72,AK,Kotzebue,66.837778,-162.556944,DFO,20.40,20474.00,13177.82
73,AK,Koyuk,64.932089,-161.167103,DFO,1.10,1287.00,946.54
74,AK,Lake Dorothy Hydroelectric Project,58.232500,-134.053300,WAT,14.30,87454.00,0.00
75,AK,Lemon Creek,58.353600,-134.495300,DFO,61.70,212.00,275.31
76,AK,Mahoney Lake Hydroelectric,55.419444,-131.537778,WAT,9.60,0.00,0.00
77,AK,Marshall,61.878186,-162.085147,DFO,1.10,1474.00,1163.92
78,AK,McGrath,62.956990,-155.594997,DFO,3.20,2289.00,1807.54
79,AK,Mountain Village,62.085569,-163.729072,DFO,3.70,2729.00,2187.15
80,AK,Naknek,58.730417,-157.007222,DFO,11.10,22066.00,9587.41
81,AK,New Stuyahok,59.448358,-157.325528,DFO,1.40,1343.00,1037.49
82,AK,Newhalen,59.899054,-154.698735,WAT,3.20,3177.00,67.35
83,AK,Nikiski Co-Generation,60.676539,-151.377713,NG,77.90,398898.00,204592.02
84,AK,Noatak,67.570931,-162.965728,DFO,1.70,1813.00,1405.88
85,AK,Noorvik,66.834519,-161.038717,DFO,2.20,1855.00,1431.94
86,AK,North Pole,64.735600,-147.348100,WO,181.00,417652.00,328133.79
87,AK,Northway,62.961700,-141.937200,DFO,1.50,1107.00,982.76
88,AK,NSB Anaktuvuk Pass,68.137950,-151.741017,DFO,2.90,3855.00,3651.54
89,AK,NSB Atqasuk Utility,70.482600,-157.425200,DFO,3.40,2859.00,2930.08
90,AK,NSB Kaktovik Utility,70.125617,-143.619033,DFO,2.60,4580.00,4294.25
91,AK,NSB Nuiqsut Utility,70.220565,-150.993492,DFO,4.80,6349.00,5824.67
92,AK,NSB Point Hope Utility,68.348424,-166.737211,DFO,4.60,6549.00,4881.83
93,AK,NSB Point Lay Utility,69.740833,-163.005833,DFO,4.60,3609.00,3064.37
94,AK,NSB Wainwright Utility,70.642877,-160.020461,DFO,3.30,6796.00,6220.77
95,AK,Nunapitchuk,60.895880,-162.459756,DFO,2.20,0.00,0.00
96,AK,Nymans Plant,57.731608,-152.507044,DFO,10.00,0.00,0.00
97,AK,Orca,60.555889,-145.752983,DFO,13.70,5589.00,4604.14
98,AK,Pelican,57.957197,-136.220095,WAT,2.90,964.00,2.38
99,AK,Petersburg,56.811040,-132.957091,WAT,14.80,11731.74,101.60
100,AK,Pillar Mountain Wind Project,57.786900,-152.440600,WND,9.00,29309.00,0.00
101,AK,Pilot Station,61.936456,-162.880706,DFO,1.70,1938.00,1573.09
102,AK,Port Lions,57.864775,-152.855441,DFO,1.00,0.00,0.00
103,AK,Power Creek,60.588686,-145.604539,WAT,6.00,15539.00,0.00
104,AK,Purple Lake,55.091263,-131.544978,WAT,3.90,14286.00,0.00
105,AK,Quinhagak,59.747436,-161.910647,DFO,1.10,2156.00,1461.60
106,AK,S W Bailey,55.357397,-131.696960,DFO,25.90,-1111.00,635.59
107,AK,Salmon Creek 1,58.326900,-134.463100,WAT,8.50,27902.00,0.00
108,AK,Savoonga,63.695267,-170.475661,DFO,1.70,2302.00,1682.99
109,AK,Scammon Bay,61.843036,-165.581497,DFO,1.30,1634.00,1306.33
110,AK,Selawik,66.606778,-160.014808,DFO,4.30,2812.00,2168.64
111,AK,Seldovia,59.439542,-151.713439,DFO,5.50,87.00,65.06
112,AK,Seward (AK),60.130922,-149.435010,DFO,18.60,105.00,143.64
113,AK,Shishmaref,66.255072,-166.073589,DFO,2.30,1638.00,1260.61
114,AK,Shungnak,66.888114,-157.140206,DFO,1.20,1551.00,1261.51
115,AK,Silvis,55.381402,-131.517758,WAT,2.10,13207.00,0.00
116,AK,Skagway,59.454500,-135.313100,WAT,4.40,2781.00,157.40
117,AK,Snake River,64.505331,-165.429814,DFO,25.70,31847.00,21124.18
118,AK,Snettisham,58.141500,-133.737000,WAT,78.20,273037.00,0.00
119,AK,Soldotna,60.499444,-150.997222,NG,100.00,39612.00,27230.80
120,AK,Solomon Gulch,61.082800,-146.303300,WAT,12.00,54850.00,0.00
121,AK,South Fork,55.563333,-132.891111,WAT,2.00,5322.00,0.00
122,AK,Southcentral Power Project,61.167417,-149.905304,NG,203.90,871990.00,393968.13
123,AK,St Marys IC,62.051525,-163.172567,DFO,7.10,2980.00,2724.42
124,AK,St. Michael,63.477500,-162.038300,DFO,1.70,0.00,0.00
125,AK,Stebbins,63.521047,-162.286322,DFO,3.20,3351.00,2744.25
126,AK,Swampy Acres,57.775560,-152.480280,DFO,8.40,0.00,0.00
127,AK,Swan Lake,55.615208,-131.356111,WAT,22.60,71246.00,0.00
128,AK,Sweetheart Lake Hydroelectric Facility,57.944900,-133.686700,WAT,19.80,0.00,0.00
129,AK,Terror Lake,57.686100,-152.895000,WAT,33.60,124484.00,0.00
130,AK,Tesoro Kenai Cogeneration Plant,60.677000,-151.381500,NG,8.60,62679.00,18098.44
131,AK,Thorne Bay Plant,55.685860,-132.528920,DFO,1.00,-1.00,53.51
132,AK,TNSG North Plant,70.235278,-148.383611,NG,25.70,72702.00,55910.57
133,AK,TNSG South Plant,70.200000,-148.466667,NG,8.40,0.00,0.00
134,AK,Togiak,59.059744,-160.380278,DFO,3.70,2987.00,2405.35
135,AK,Tok,63.335520,-142.999970,DFO,7.60,9175.00,7191.23
136,AK,Toksook Bay,60.530142,-165.108575,DFO,1.70,3430.00,2364.38
137,AK,Tyee Lake Hydroelectric Facility,56.216403,-131.504344,WAT,22.60,96901.00,0.00
138,AK,Unalakleet,63.876789,-160.790414,DFO,3.60,3199.00,2519.00
139,AK,Unalaska Power Module,53.863993,-166.512591,DFO,1.10,289.00,238.36
140,AK,Unisea G 2,53.879600,-166.553200,DFO,19.20,30339.00,25922.09
141,AK,University of Alaska Fairbanks,64.854171,-147.822075,SUB,39.60,41064.00,24758.55
142,AK,Upper Kalskag,61.526858,-160.348128,DFO,1.10,1447.00,1128.85
143,AK,Utility Plants Section,64.825601,-147.648627,SUB,22.50,105551.40,69032.24
144,AK,Valdez,61.130300,-146.364700,DFO,9.70,5050.00,4518.03
145,AK,Valdez Cogen,61.083900,-146.252900,WO,5.30,17636.00,13008.54
146,AK,Viking,55.540708,-133.102344,DFO,1.00,-10.00,0.00
147,AK,Westward Seafoods,53.858508,-166.552880,DFO,6.60,18455.00,6696.76
148,AK,Whitman,55.328056,-131.530833,WAT,4.80,7649.00,0.00
149,AK,Wrangell,56.460976,-132.379439,DFO,14.70,44.00,54.65
150,AK,Yakutat,59.544553,-139.724306,DFO,7.70,5794.00,4686.33
151,AL,ABC Coke,33.582793,-86.779866,OG,3.80,2989.00,993.51
152,AL,Alabama Pine Pulp,31.582500,-87.488900,BLQ,69.00,439412.15,10317.88
153,AL,Alabama River Pulp,31.582500,-87.488900,BLQ,48.00,310491.88,12952.99
154,AL,Albertville,34.363389,-86.223889,DFO,4.00,0.00,0.00
155,AL,AMEA Sylacauga Plant,33.166100,-86.282500,NG,98.60,46242.00,31142.72
156,AL,ANAD Solar Array,33.626728,-85.969481,SUN,7.40,0.00,0.00
157,AL,APC1,,,NG,270.00,0.00,0.00
158,AL,APC2,,,NG,300.00,0.00,0.00
159,AL,APC3,,,NG,200.00,0.00,0.00
160,AL,Bankhead Dam,33.458665,-87.356823,WAT,53.90,-325.00,0.00
161,AL,Barry,31.006900,-88.010300,BIT,2841.50,12770891.00,8273769.31
162,AL,Bartletts Ferry,32.661976,-85.091552,WAT,173.00,362014.00,0.00
163,AL,Bellefonte,34.709200,-85.927800,DFO,14.00,0.00,0.00
164,AL,Boise Cascade Pulp & Paper Mill,31.489400,-87.898900,BLQ,18.00,124311.80,16044.62
165,AL,Browns Ferry,34.704200,-87.118900,NUC,3494.00,26214623.00,0.00
166,AL,Calhoun Energy Center,33.588300,-85.973100,NG,748.00,195125.00,127181.73
167,AL,Charles R Lowman,31.488019,-87.910747,BIT,538.00,1480692.00,1951563.11
168,AL,Colbert,34.743900,-87.848600,BIT,1826.00,744333.00,972217.68
169,AL,Crestwood Dothan,31.262356,-85.402737,DFO,13.60,695.00,602.32
170,AL,Decatur Energy Center,34.629200,-87.021400,NG,902.40,2600458.00,1152910.47
171,AL,Decatur-Morgan Co LFG Recovery Project,34.623611,-87.101111,LFG,1.60,10970.00,0.00
172,AL,District 100 Transco Gas Pipe Line,32.668889,-86.720000,WH,1.60,0.00,0.00
173,AL,E B Harris Generating Plant,32.381352,-86.574366,NG,2534.00,6096885.00,2517671.52
174,AL,E C Gaston,33.244211,-86.458056,BIT,2034.00,4280420.00,5013582.45
175,AL,ExxonMobil Mobile Bay Onshore,30.432030,-88.182410,NG,12.00,83285.00,25608.91
176,AL,Fort Rucker Solar Array,31.331148,-85.730190,SUN,10.60,0.00,0.00
177,AL,Gadsden,34.012800,-85.970800,NG,138.00,190978.00,118250.52
178,AL,Gantt,31.403300,-86.479469,WAT,3.00,5718.00,0.00
179,AL,Georgia-Pacific Brewton Mill,31.077000,-87.111600,BLQ,115.90,226577.98,36520.68
180,AL,Georgia-Pacific Consr Prods LP-Naheola,32.226800,-88.025200,BLQ,78.40,219376.00,38495.88
181,AL,Goat Rock,32.609650,-85.080500,WAT,44.60,116128.00,0.00
182,AL,Gorgas,33.644344,-87.196486,BIT,1416.70,5494441.00,6183798.68
183,AL,Greene County,32.601700,-87.781100,NG,1288.40,1309634.00,1060024.13
184,AL,Guntersville,34.421272,-86.393931,WAT,115.20,506256.00,0.00
185,AL,H Neely Henry Dam,33.784500,-86.052400,WAT,72.90,154855.00,0.00
186,AL,Harris Dam,33.258281,-85.616047,WAT,135.00,114934.00,0.00
187,AL,Hillabee Energy Center,33.000669,-85.903278,NG,822.80,5387101.00,2229445.32
188,AL,Hog Bayou Energy Center,30.747800,-88.057500,NG,280.00,1501249.00,668314.03
189,AL,Holt Dam,33.255300,-87.449500,WAT,46.90,129325.00,0.00
190,AL,International Paper-Prattville Mill,32.418700,-86.471800,BLQ,89.80,573671.00,181000.47
191,AL,International Paper-Riverdale Mill,32.426016,-86.870912,NG,104.20,576969.30,0.00
192,AL,James H Miller Jr,33.631900,-87.059700,SUB,2822.00,18193039.00,21724990.49
193,AL,Jones Bluff,32.324242,-86.784319,WAT,82.00,195134.00,0.00
194,AL,Jordan Dam,32.618900,-86.254800,WAT,100.00,269244.00,0.00
195,AL,Joseph M Farley,31.223100,-85.111600,NUC,1776.40,13687256.00,0.00
196,AL,LaFayette Solar Farm,32.876313,-85.388210,SUN,79.20,0.00,0.00
197,AL,Langdale,32.813836,-85.167786,WAT,1.00,0.00,0.00
198,AL,Lay Dam,32.963300,-86.518700,WAT,177.00,404623.00,0.00
199,AL,Lewis Smith Dam,33.940600,-87.107700,WAT,181.00,233853.00,0.00
200,AL,Logan Martin Dam,33.425878,-86.337547,WAT,128.10,266305.00,0.00
201,AL,Martin Dam,32.680394,-85.911442,WAT,210.60,304289.00,0.00
202,AL,McIntosh (7063),31.254600,-88.029900,NG,676.00,308871.00,199096.44
203,AL,McWilliams,31.400255,-86.476449,NG,654.00,3816606.00,1685241.20
204,AL,MeadWestvaco Coated Board LLC,32.176100,-85.027200,NG,112.50,777256.00,154453.50
205,AL,Millers Ferry,32.100881,-87.399767,WAT,101.10,239468.00,0.00
206,AL,Mitchell Dam,32.806025,-86.444892,WAT,170.00,372569.00,0.00
207,AL,Mobile Energy Services LLC,30.736487,-88.051643,WDS,109.20,391430.00,79394.88
208,AL,Morgan Energy Center,34.639700,-87.063900,NG,900.00,4115273.00,1615155.63
209,AL,Plant H. Allen Franklin,32.607800,-85.097500,NG,2683.80,11670861.00,4826857.11
210,AL,Point A,31.361146,-86.518307,WAT,5.20,14113.00,0.00
211,AL,River Bend Solar LLC,34.831511,-87.842204,SUN,75.00,31261.00,0.00
212,AL,Rock-Tenn Mill,32.454100,-87.975900,BLQ,84.00,228859.89,17456.19
213,AL,SABIC Innovative Plastics - Burkville,32.310226,-86.525420,NG,97.00,477109.00,129366.10
214,AL,Sand Valley Power Station,34.343875,-85.866103,LFG,4.80,27140.00,0.00
215,AL,Sloss Industries Corp,33.568164,-86.798730,OG,25.00,23726.20,7820.19
216,AL,Tenaska Central Alabama Gen Station,32.649700,-86.740000,NG,927.10,5185641.00,2416326.86
217,AL,Tenaska Lindsay Hill Generating Station,32.651400,-86.738600,NG,939.40,2905517.00,1244587.54
218,AL,Theodore Cogeneration,30.525445,-88.128477,NG,317.40,1272659.00,462287.09
219,AL,Thurlow Dam,32.535436,-85.887614,WAT,91.00,200640.00,0.00
220,AL,U S Alliance Coosa Pines,33.328107,-86.356825,BLQ,55.40,134783.00,13039.18
221,AL,US Steel (Fairfield Works),33.488500,-86.921200,PRG,82.00,0.00,0.00
222,AL,Walter Bouldin Dam,32.583889,-86.283056,WAT,225.00,468960.00,0.00
223,AL,Walton Discover Power Facility,32.540980,-85.038879,NG,103.00,19268.00,14291.11
224,AL,Washington County Cogen (Olin),31.250400,-88.015600,NG,122.50,718606.00,284186.28
225,AL,Weiss Dam,34.172142,-85.753806,WAT,87.60,164092.00,0.00
226,AL,Westervelt Moundville Cogen,32.960714,-87.655419,WDS,8.80,39791.00,489.77
227,AL,Weyerhaeuser Pine Hill Operations,31.969800,-87.480600,BLQ,77.40,476045.00,21140.45
228,AL,Wheeler Dam,34.806900,-87.381900,WAT,404.00,1014935.00,0.00
229,AL,Widows Creek,34.883022,-85.755253,BIT,1968.60,0.00,0.00
230,AL,Wilson Dam,34.797820,-87.625370,WAT,666.70,1809161.00,0.00
231,AL,Yates Dam,32.574300,-85.890100,WAT,50.50,116654.00,0.00
232,AL,Yellowhammer Gas Plant,30.403538,-88.128330,NG,3.40,17476.00,17605.02
233,AR,Archer Daniels Midland Little Rock,34.700000,-92.199722,NG,4.00,0.00,0.00
234,AR,Arkansas Nuclear One,35.311000,-93.235100,NUC,1845.00,13421022.00,0.00
235,AR,Ashdown,33.641700,-94.108300,BLQ,156.50,573418.00,55500.84
236,AR,Beaver Dam,36.421507,-93.847373,WAT,112.00,164928.00,0.00
237,AR,Blakely Mountain,34.570984,-93.194425,WAT,75.00,223819.00,0.00
238,AR,Bull Shoals,36.363500,-92.576300,WAT,340.00,875676.00,0.00
239,AR,Carl Bailey,35.260102,-91.363426,NG,120.00,16219.00,11189.35
240,AR,Carpenter,34.442500,-93.026200,WAT,56.00,70029.00,0.00
241,AR,Cecil Lynch,34.753500,-92.198700,,231.00,0.00,0.00
242,AR,City Water & Light - City of Jonesboro,35.848561,-90.725377,NG,224.30,67723.00,37752.98
243,AR,Clearwater Paper APP CB,33.706100,-91.237100,BLQ,28.00,99202.00,10384.61
244,AR,Columbia Flooring Melbourne,36.060514,-91.919802,WDS,2.00,2289.20,28.86
245,AR,Dam 2,33.986501,-91.315788,WAT,102.60,378865.00,0.00
246,AR,Dardanelle,35.250300,-93.168600,WAT,160.80,664117.00,0.00
247,AR,Degray,34.211913,-93.110963,WAT,68.00,106751.00,0.00
248,AR,Dell Power Plant,35.861900,-90.025300,NG,679.10,735515.00,349741.31
249,AR,Elkins Generating Center,35.971400,-94.001400,NG,66.00,7805.00,5694.98
250,AR,Ellis Hydro,35.351361,-94.294349,WAT,32.40,138536.00,0.00
251,AR,Flint Creek Power Plant,36.256100,-94.524100,SUB,558.00,2041334.00,2407859.78
252,AR,Fourche Creek Wastewater,34.696800,-92.165000,OBG,2.80,5571.00,296.77
253,AR,Fulton,33.609400,-93.792400,NG,154.80,48100.00,30188.81
254,AR,Genova Arkansas I LLC,36.186111,-94.284166,NG,631.40,0.00,0.00
255,AR,Georgia-Pacific Crossett LLC,33.142100,-91.975000,BLQ,91.60,505599.87,56005.24
256,AR,Greers Ferry Lake,35.520700,-91.995300,WAT,96.00,198122.00,0.00
257,AR,Hamilton Moses,34.980600,-90.872200,NG,138.00,0.00,0.00
258,AR,Harry D. Mattison Power Plant,36.185500,-94.284100,NG,349.00,117273.00,89238.05
259,AR,Harvey Couch,33.359200,-93.464900,NG,182.70,0.00,0.00
260,AR,Hot Spring  Energy Facility,34.297590,-92.868344,NG,1429.70,2964241.00,1214374.42
261,AR,Independence,35.678442,-91.408761,SUB,1800.00,7704239.00,8300170.57
262,AR,John W. Turk Jr. Power Plant,33.649722,-93.811944,SUB,609.00,3748751.00,3764882.12
263,AR,Lake Catherine,34.434100,-92.904900,NG,752.00,332156.00,226751.14
264,AR,Lee Creek Water Treatment Facility,35.484488,-94.392858,WAT,1.30,0.00,0.00
265,AR,Mabelvale,34.635997,-92.409602,NG,78.00,0.00,0.00
266,AR,Magnet Cove Generating Station,34.429700,-92.831700,NG,746.00,2046994.00,884486.80
267,AR,McClellan,33.564800,-92.791700,NG,136.00,61314.00,46347.12
268,AR,Municipal Light,36.385800,-90.186700,DFO,7.20,0.00,0.00
269,AR,Murray,34.795600,-92.356900,WAT,45.40,147872.00,0.00
270,AR,Narrows (AR),34.148427,-93.715168,WAT,25.50,46537.00,0.00
271,AR,Norfork,36.249100,-92.240100,WAT,80.40,233281.00,0.00
272,AR,Osceola (AR),35.689300,-89.994000,DFO,9.60,0.00,0.00
273,AR,Oswald Generating Station,34.592300,-92.216600,NG,599.50,519479.00,251571.02
274,AR,Ozark,35.469300,-93.817500,WAT,100.00,103533.00,0.00
275,AR,Ozarks Natural Energy,36.164296,-94.082269,SUN,1.00,1600.00,0.00
276,AR,Paragould,36.060556,-90.521389,DFO,4.10,0.00,0.00
277,AR,Paragould Reciprocating,36.024200,-90.509400,NG,19.20,354.00,206.92
278,AR,Paragould Turbine,36.024272,-90.509229,NG,13.90,41.00,33.41
279,AR,Pine Bluff Energy Center,34.218100,-91.902500,NG,236.00,1212971.00,401452.84
280,AR,Pine Bluff Mill,34.221213,-91.907365,BLQ,85.00,414473.00,10014.83
281,AR,Plum Point Energy Station,35.664400,-89.948900,SUB,720.00,4605320.00,4824512.70
282,AR,Remmel,34.427200,-92.894100,WAT,9.00,42767.00,0.00
283,AR,Riceland Foods Cogeneration Plant,34.513600,-91.533100,OBS,18.00,43440.00,560.48
284,AR,Robert E Ritchie,34.462900,-90.598700,NG,923.10,0.00,0.00
285,AR,SR Camden,33.631538,-92.703611,SUN,12.00,24542.00,0.00
286,AR,Stuttgart Solar,34.439722,-91.440000,SUN,81.00,0.00,0.00
287,AR,Thomas Fitzhugh,35.462382,-93.804926,NG,185.00,255902.00,137008.37
288,AR,Two Pine Landfill Gas Recovery,34.833200,-92.157103,LFG,4.80,33799.00,0.00
289,AR,UA Central Utility Plant,36.066336,-94.172254,NG,5.60,37742.00,23582.15
290,AR,Union Power Station,33.296146,-92.589364,NG,2428.00,9459445.00,4014569.98
291,AR,Warren Lumber Mill,33.620600,-92.078889,WDS,15.00,0.00,0.00
292,AR,Waste Management Eco Vista LFGTE,36.140849,-94.259713,LFG,4.00,30837.00,0.00
293,AR,Whillock,35.127591,-92.790273,WAT,32.40,169672.00,0.00
294,AR,White Bluff,34.422800,-92.140600,SUB,1800.00,5697538.00,6773189.19
295,AR,White River Lock and Dam 1,35.757401,-91.636887,WAT,4.30,6005.00,0.00
296,AR,White River Lock and Dam 2,35.744036,-91.765418,WAT,3.50,15966.00,0.00
297,AR,White River Lock and Dam 3,35.843610,-91.850521,WAT,4.30,22334.00,0.00
298,AZ,Actus Lend Lease DMAFB,32.182500,-110.863333,SUN,3.00,4481.00,0.00
299,AZ,Agua Caliente Solar Project,32.977400,-113.494500,SUN,637.70,743533.00,0.00
300,AZ,Agua Fria Generating Station,33.556100,-112.215300,NG,613.50,84854.00,66926.45
301,AZ,Amonix UASTP Solar Power Station,32.108147,-110.824662,SUN,1.90,1036.00,0.00
302,AZ,Amphitheater High School Solar,32.269000,-110.975000,SUN,1.00,77.00,0.00
303,AZ,Apache Solar 1,32.068141,-109.890379,SUN,20.00,0.00,0.00
304,AZ,Apache Station,32.060300,-109.893100,SUB,660.70,2068779.00,2425133.41
305,AZ,APS Saguaro Power Plant,32.551700,-111.300000,NG,435.50,15748.00,10876.29
306,AZ,APS West Phoenix Power Plant,33.441700,-112.158300,NG,1326.90,2570029.00,1060214.40
307,AZ,Arizona State University CHP,33.417222,-111.928333,NG,9.20,50187.00,15427.45
308,AZ,Arizona Western College PV,32.687778,-114.496110,SUN,5.70,9854.00,0.00
309,AZ,Arlington Valley Energy Facility,33.341700,-112.889700,NG,713.00,1885829.00,832398.05
310,AZ,Arlington Valley Solar Energy I,33.321667,-112.880555,SUN,127.00,0.00,0.00
311,AZ,Arlington Valley Solar Energy II,33.305000,-112.833888,SUN,129.00,364396.00,0.00
312,AZ,Avalon Solar,32.001389,-110.960556,SUN,29.00,79764.00,0.00
313,AZ,Avalon Solar II,32.000854,-110.958427,SUN,16.00,38231.00,0.00
314,AZ,Avra Valley Solar,32.371667,-111.282777,SUN,26.50,74846.00,0.00
315,AZ,Badger 1,33.498003,-112.813458,SUN,14.80,41342.00,0.00
316,AZ,Black Mountain Generating Station,35.036100,-114.159400,NG,121.00,56868.00,35176.42
317,AZ,Black Mountain Solar LLC,35.022700,-114.162700,SUN,9.00,20652.00,0.00
318,AZ,Bonnybrooke PV,33.053000,-111.340000,SUN,50.00,12278.00,0.00
319,AZ,Buckeye Generation Center LLC,33.230833,-112.626389,NG,652.20,0.00,0.00
320,AZ,Buckeye Union HS District 201,33.419167,-112.576111,SUN,3.30,7398.00,0.00
321,AZ,Canyon Del Oro High School Solar,32.374000,-110.974000,SUN,1.50,15.00,0.00
322,AZ,Childs,34.351111,-111.700556,WAT,5.40,0.00,0.00
323,AZ,Chino Solar Valley,34.718430,-112.428990,SUN,19.00,45734.00,0.00
324,AZ,Cholla,34.939400,-110.303300,SUB,1128.80,2432167.00,3034143.49
325,AZ,Cogeneration 1,32.229922,-110.952797,NG,9.00,54338.43,16466.35
326,AZ,Cogeneration 2,32.240833,-110.948333,NG,6.00,36816.35,11066.79
