	x_var	y_var
0	32.33111023	61.41110125
1	53.42146288	26.18688039
2	63.92020226	30.83219392
3	70.28950572	82.53364859
4	34.11883024	45.73455132
5	67.6707164	37.11094797
6	53.25912941	97.4757711
7	63.51498087	25.10007858
8	67.98053881	80.95716522
9	67.3724659	29.7204002
10	15.56074952	80.06564029
11	71.79076769	71.06546666
12	70.24254644	24.10959755
13	64.93743554	81.55420499
14	62.21352455	21.475839
15	67.26940048	18.70896837
16	40.57019704	79.37296348
17	74.74118133	21.1016372
18	71.76831892	20.01106184
19	76.16691981	75.9361704
20	65.62365744	15.58280335
21	50.85063364	13.98760163
22	33.02407002	24.46783039
23	39.70632617	84.2752871
24	45.59648495	9.763348849
25	42.96804691	17.9454584
26	52.49440678	16.0511142
27	46.08227578	23.11045782
28	74.24770821	20.31418781
29	64.56826419	83.6396339
30	74.02169391	76.12827451
31	62.39118056	5.623070761
32	74.18903668	68.13358322
33	28.23678194	56.13959645
34	75.77193879	69.82923003
35	75.85522947	62.51704429
36	65.97085702	72.744856
37	21.77804048	6.616625307
38	67.75979625	72.42120153
39	78.61719534	52.57525731
40	68.50770819	15.45691897
41	74.88502116	25.41660632
42	66.45490366	19.83662865
43	77.3178021	48.39834644
44	58.91246032	75.66775622
45	57.61744782	8.194800603
46	76.0882258	59.67993002
47	57.46605055	1.504418175
48	79.42838349	45.21079429
49	76.35652215	10.41824113
50	64.40507526	78.58417608
51	40.63504181	73.39475037
52	43.94986459	75.95871567
53	30.99622058	71.69440494
54	68.23076899	80.87250166
55	72.04638946	12.91800673
56	46.59276797	84.97238278
57	49.25721834	81.88140323
58	42.78176125	12.99118843
59	65.4759522	14.27458564
60	71.96508265	17.71023594
61	32.14646234	43.48170944
62	31.8384977	71.81216539
63	31.00525826	40.68250301
64	80.47089432	49.50214835
65	71.96416711	41.87428267
66	78.07942144	93.13331677
67	41.67759577	30.20126408
68	65.95359519	31.14740608
69	62.93445937	31.9163907
70	64.37379798	28.86258341
71	72.50932836	39.54013025
72	30.05228987	96.61754235
73	28.00332424	46.67219195
74	75.40122686	88.63907662
75	38.98001542	87.32216069
76	65.21991355	84.68295493
77	73.05398996	29.38080856
78	34.39836164	59.5444469
79	43.49045013	40.78254207
80	55.13873797	30.72576036
81	43.68439343	32.82300987
82	35.90360973	91.11186308
83	45.37801888	29.16921665
84	39.77748287	43.75581895
85	38.66446116	33.31723848
86	39.04403669	84.67601083
87	91.63996144	79.40660306
88	47.48813268	85.38993338
89	44.59021258	22.03401164
90	39.08961455	70.46619408
91	42.22937838	19.91406841
92	37.00038714	60.26427925
93	39.05208648	70.65250285
94	37.48841474	60.81440485
95	69.35955946	65.5213546
96	43.54277593	62.46031128
97	39.81123025	65.33483281
98	70.06892594	7.593465609
99	70.04054358	77.1438066
100	39.50578908	74.85162722
101	62.51689085	66.48473224
102	72.13992541	0.015119325
103	45.25157607	70.00342132
104	42.06330456	2.335196612
105	36.35569515	6.00584865
106	30.39182766	42.75961287
107	36.44900385	50.54626907
108	40.467576	60.02751209
109	81.7246168	6.037544846
110	48.8231975	76.63533058
111	35.62056177	57.28601558
112	50.58396311	71.8066161
113	61.85646511	71.79274316
114	39.32375603	59.30081967
115	42.18567914	66.03489782
116	30.84691899	37.3416401
117	29.34620043	42.14874183
118	82.11055798	1.210551663
119	38.30200581	60.01778579
120	56.58415302	70.51251481
121	33.33937429	0.509106735
122	78.77423904	35.48410121
123	27.92264424	25.98687818
124	71.69786512	10.86814451
125	74.13833139	49.17391898
126	32.57902007	1.808115597
127	59.83218542	69.15250814
128	35.03062855	12.53664934
129	74.30011983	42.47709459
130	63.25019706	65.9524862
131	34.17307376	25.69367431
132	40.91383193	38.55901955
133	62.83329309	62.51089423
134	42.47679238	56.73128997
135	52.03345628	64.56666203
136	48.90704296	74.28774883
137	59.85183839	72.95839097
138	48.9604602	72.62952573
139	46.84485517	36.79171369
140	39.96302158	42.94491485
141	66.704944	32.01509543
