	x_var	y_var
0	38.33775718	92.47271905
1	35.75187079	94.11676803
2	32.76721796	88.51829458
3	33.72960678	88.62226579
4	37.23824933	83.72492841
5	36.02719822	82.04078065
6	39.23928078	79.26372384
7	39.78452494	82.2605659
8	35.16602939	84.15649198
9	40.62211592	78.54210421
10	39.18190709	79.8190372
11	42.43088899	75.13363464
12	43.08125586	75.34670164
13	44.36071943	70.47420705
14	44.32477884	71.0459044
15	47.5521602	66.46040372
16	48.66492462	64.96100494
17	46.28063196	68.02842315
18	50.56324448	62.62382797
19	52.63096423	59.96393579
20	54.63620644	57.49384244
21	51.34602714	61.60055304
22	57.13485535	53.8779658
23	54.17124157	58.0598079
24	50.94238231	62.09739394
25	66.51292446	59.07128185
26	64.3979095	56.1748754
27	68.68659329	62.23734399
28	65.02779371	57.09625735
29	53.30450317	40.88384455
30	52.94517809	40.38462569
31	45.2257382	30.55522592
32	50.84330462	37.7446281
33	49.65929394	36.27344274
34	47.14278893	32.02506417
35	41.27005653	21.72181715
36	47.13012716	31.30990292
37	40.91597158	23.54159239
38	38.66016397	21.68954964
39	42.61255083	24.19505377
40	41.2090395	24.12870919
41	50.64922115	37.48379074
42	52.13190194	39.36460208
43	39.79727127	16.08354965
44	43.54988148	24.30721094
45	36.71466334	17.38180986
46	37.22461013	17.98006448
47	40.51244785	22.96221457
48	40.22206279	20.6146217
49	44.12496121	23.36624529
50	42.3462616	24.55832694
51	44.18908437	28.77262547
52	45.81424531	31.05697967
53	46.64311927	31.40721906
54	52.1898883	39.36779649
55	51.10031736	38.09569998
56	65.40083415	42.61403204
57	64.85203983	43.13373484
58	63.40380601	44.84749369
59	65.37154887	42.69597132
60	61.9080397	53.19035207
61	71.826653	65.68623036
62	72.65462316	66.87827761
63	76.88857816	72.16547208
64	43.74461968	71.26796108
65	39.05424844	83.1190207
66	39.93167463	79.939188
67	39.76282611	76.40596745
68	41.32338329	80.2118686
69	41.78732323	83.98807799
70	39.75564907	79.65709664
71	40.7498794	77.20465729
72	43.8568985	77.60984365
73	42.3678225	73.63827183
74	39.46295984	78.4599739
75	44.51733395	70.36934983
76	41.636093	76.24922292
77	45.42293218	69.09550167
78	42.00285627	97.83761472
79	76.10562903	95.30498058
80	79.20256268	92.40721563
81	84.84824409	95.42480453
82	81.56447532	83.79290723
83	85.4461864	83.07829384
84	80.31249138	76.51623895
85	80.7662323	79.89606568
86	82.67011248	81.71147985
87	77.16362548	73.52371896
88	74.07070003	68.47956429
89	74.11423087	71.92636352
90	68.94207546	62.63515058
91	73.24200233	67.35327113
92	71.86701316	34.32915759
93	71.56918885	34.69921861
94	71.48290969	34.68051699
95	78.12852205	23.13923184
96	78.78982525	25.59719335
97	77.7815468	23.44721447
98	48.53062937	34.15245001
99	65.53078147	42.2810847
100	70.11803414	36.44818479
101	70.47226261	36.08805306
102	76.79113007	28.07200817
103	72.40935459	33.03925697
104	76.27129982	25.56954415
105	76.95325914	27.77061074
106	75.10773009	30.01698342
107	75.9692852	29.03886538
108	75.28388701	24.87475317
109	77.05224064	27.90563909
110	42.82675634	25.55695941
111	42.08066069	24.94652645
112	39.87830465	18.32492922
113	36.47549917	17.71894779
114	37.10307364	15.44561165
115	34.14896821	13.52386987
116	37.57942191	15.01589013
117	41.06430579	12.21446893
118	42.19526615	20.91937219
119	36.60557824	15.74887589
120	39.43116121	19.32384075
121	37.56207634	11.9284457
122	34.23811004	13.71315823
123	34.14094104	4.57766135
124	36.6592677	17.68196446
125	40.64371928	20.24086137
126	36.79248159	13.39213473
127	75.94830064	22.74479591
128	76.84069247	20.91854722
129	81.95047764	19.87455821
130	81.64370569	16.59175998
131	84.61021978	14.2477619
132	84.10287943	8.98065579
133	80.18002545	19.08884413
134	80.57327299	8.365638902
135	79.00432686	10.62819777
136	40.04818647	24.26148793
137	34.79459354	13.96968346
138	79.22176444	22.09459148
139	36.03087977	93.12173324
140	34.49955831	86.60998505
141	31.10686656	89.46163524
